#Controller/Action/Helper/Eventdocuments.php
"Most Commented";"Most Commented"
"Most Viewed";"Most Viewed"
"Featured";"Featured"
"View document";"View document"
"Publish document";"Publish document"
"Edit document";"Edit document"
"Delete document";"Delete document"
"Not Approved";"Not Approved"
"Featured";"Featured"
"Document format conversion in progress.";"Document format conversion in progress."
"Format conversion for this document failed.";"Format conversion for this document failed."
"This document has been deleted at Scribd";"This document has been deleted at Scribd"
"Created %s by %s";"Created %s by %s"
"No documents were found matching your search criteria.";"No documents were found matching your search criteria."
"No documents have been added to this event yet.";"No documents have been added to this event yet."
"Be the first to %1$sadd%2$s one!";"Be the first to %1$sadd%2$s one!"
"Featured";"Featured"

"_EMAIL_NOTIFY_EVENTOWNER_EVENTDOCUMENT_DELETE_TITLE";"Event Document getting deleted at Scribd (Event Owner)"
"_EMAIL_NOTIFY_EVENTOWNER_EVENTDOCUMENT_DELETE_DESCRIPTION";This email is sent to a event owner when a document in his event gets deleted at Scribd (This happens very rarely when Scribd's algoritm detects a document to be violating a copyright.).
"_EMAIL_NOTIFY_EVENTOWNER_EVENTDOCUMENT_DELETE_SUBJECT";"A document has been deleted in your event."
"_EMAIL_NOTIFY_EVENTOWNER_EVENTDOCUMENT_DELETE_BODY";"[header]

A document titled: [document_title_with_link], created in your event: [event_title_with_link], has been deleted at Scribd. The document creator has been notified to edit or delete this document. You may also delete this document by clicking here: [delete_document_link].

[footer]"

"_EMAIL_NOTIFY_DOCOWNER_EVENTDOCUMENT_DELETE_TITLE";"Event Document getting deleted at Scribd (Creator)"
"_EMAIL_NOTIFY_DOCOWNER_EVENTDOCUMENT_DELETE_DESCRIPTION";"This email is sent to a event document creator when his document gets deleted at Scribd (This happens very rarely when Scribd's algoritm detects a document to be violating a copyright. In this case, the creator may edit the document to upload a new file, or re-upload the old file.)."
"_EMAIL_NOTIFY_DOCOWNER_EVENTDOCUMENT_DELETE_SUBJECT";"Your document has been deleted. Please re-upload."
"_EMAIL_NOTIFY_DOCOWNER_EVENTDOCUMENT_DELETE_BODY";"[header]

The document created by you: [document_title_with_link], in this event: [event_title_with_link], has been deleted at Scribd. Please delete this document by clicking here: [delete_document_link], or edit it by clicking here: [edit_document_link], to upload a new file.

[footer]"


"ADMIN_ACTIVITY_TYPE_EVENTDOCUMENT_NEW";"When a new event document entry is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_EVENTDOCUMENT";"When someone likes one of my event document entries."
"ADMIN_ACTIVITY_TYPE_LIKED_EVENTDOCUMENT";"When someone comments on a event document entry I liked."
"ADMIN_ACTIVITY_TYPE_COMMENTED_EVENTDOCUMENT";"When someone comments on a event document I commented on."
"ADMIN_ACTIVITY_TYPE_COMMENT_EVENTDOCUMENT";"When someone comments on one of my event document entries."

"_ACTIVITY_ACTIONTYPE_EVENTDOCUMENT_NEW";"New event document entries"
"_ACTIVITY_ACTIONTYPE_COMMENT_EVENTDOCUMENT";"Comments on your event documents"

"ACTIVITY_TYPE_COMMENTED_EVENTDOCUMENT";"When someone comments on a event document I commented on."
"ACTIVITY_TYPE_COMMENT_EVENTDOCUMENT";"When someone comments on one of my event document entries."
"ACTIVITY_TYPE_LIKED_EVENTDOCUMENT";"When someone comments on a event document entry I liked."
"ACTIVITY_TYPE_LIKE_EVENTDOCUMENT";"When someone likes one of my event document entries."
"ACTIVITY_TYPE_EVENTDOCUMENT_NEW";"When a new event document entry is posted."
"ITEM_TYPE_EVENTDOCUMENT";"Event Documents"

"ADMIN_ACTIVITY_TYPE_EVENTDOCUMENT_DOCUMENT_NEW";"When a new event document entry is posted."
"ADMIN_ACTIVITY_TYPE_LIKE_EVENTDOCUMENT_DOCUMENT";"When someone likes one of my event document entries."
"ADMIN_ACTIVITY_TYPE_LIKED_EVENTDOCUMENT_DOCUMENT";"When someone comments on a event document entry I liked."
"ADMIN_ACTIVITY_TYPE_COMMENTED_EVENTDOCUMENT_DOCUMENT";"When someone comments on a event document I commented on."
